epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.494751,0.367532,1.025976,0.733800,0.00010000
2,1.775048,0.488153,1.107590,0.699200,0.00020000
3,1.748682,0.481730,0.999059,0.724200,0.00019992
4,1.599998,0.518337,0.959035,0.734600,0.00019968
5,1.475582,0.527049,0.888538,0.749800,0.00019927
6,1.363249,0.560744,0.880014,0.755000,0.00019871
7,1.312572,0.546275,0.840501,0.763200,0.00019798
8,1.263965,0.581037,0.798624,0.774400,0.00019709
9,1.225626,0.599640,0.760266,0.792800,0.00019605
10,1.148459,0.591105,0.780811,0.790600,0.00019485
11,1.124025,0.603352,0.837594,0.777000,0.00019350
12,1.095352,0.612865,0.822604,0.778400,0.00019200
13,1.094225,0.627000,0.799348,0.789400,0.00019035
14,1.055273,0.619888,0.823065,0.783200,0.00018855
15,1.029083,0.626400,0.851638,0.781400,0.00018660
16,1.036439,0.612331,0.811274,0.791800,0.00018452
17,1.022773,0.630490,0.807764,0.797400,0.00018230
18,0.963990,0.647760,0.827143,0.785400,0.00017994
19,0.997147,0.629956,0.800287,0.795400,0.00017746
20,0.950360,0.645448,0.882051,0.791000,0.00017485
21,0.911199,0.635446,0.867283,0.791000,0.00017212
22,0.943812,0.662851,0.845532,0.792000,0.00016927
23,0.933949,0.650582,0.781222,0.804400,0.00016631
24,0.922111,0.646937,0.805971,0.804200,0.00016324
25,0.878433,0.640158,0.784678,0.801800,0.00016007
26,0.863898,0.654583,0.794739,0.803600,0.00015681
27,0.883458,0.653183,0.843383,0.797000,0.00015345
28,0.831517,0.669586,0.879062,0.803200,0.00015000
29,0.863643,0.647626,0.878243,0.797200,0.00014647
30,0.846520,0.664118,0.839059,0.807800,0.00014287
31,0.824394,0.672075,0.829728,0.818600,0.00013920
32,0.810964,0.661451,0.818547,0.815400,0.00013546
33,0.833319,0.666341,0.827477,0.814600,0.00013167
34,0.827243,0.670030,0.818001,0.818400,0.00012782
35,0.781340,0.654983,0.799235,0.819000,0.00012393
36,0.768410,0.681277,0.794034,0.821000,0.00012000
37,0.751509,0.684900,0.807632,0.816600,0.00011604
38,0.770615,0.665763,0.842383,0.819200,0.00011205
39,0.733783,0.677898,0.866224,0.812200,0.00010805
40,0.704527,0.680565,0.871168,0.819600,0.00010403
41,0.746707,0.690345,0.850891,0.824800,0.00010000
42,0.731041,0.691967,0.899820,0.815400,0.00009597
43,0.739368,0.668830,0.829785,0.829200,0.00009195
44,0.701692,0.693990,0.837241,0.825600,0.00008795
45,0.712933,0.695212,0.866824,0.824600,0.00008396
46,0.724694,0.680321,0.815781,0.835000,0.00008000
47,0.689420,0.688522,0.859578,0.828800,0.00007607
48,0.663809,0.714772,0.886724,0.827000,0.00007218
49,0.675536,0.721350,0.819211,0.833600,0.00006833
50,0.665712,0.694412,0.855833,0.827200,0.00006454
51,0.647001,0.707592,0.876249,0.837000,0.00006080
52,0.632967,0.706570,0.871590,0.836400,0.00005713
53,0.628734,0.700991,0.858622,0.836600,0.00005353
54,0.620978,0.698658,0.912339,0.828800,0.00005000
55,0.632449,0.701569,0.837412,0.842000,0.00004655
56,0.633616,0.709726,0.855846,0.834200,0.00004319
57,0.635872,0.696346,0.846858,0.838000,0.00003993
58,0.604142,0.697680,0.896387,0.836200,0.00003676
59,0.599357,0.719128,0.864085,0.836600,0.00003369
60,0.622091,0.701014,0.828260,0.843200,0.00003073
61,0.615625,0.705281,0.802817,0.846000,0.00002788
62,0.594913,0.724195,0.848837,0.841200,0.00002515
63,0.611683,0.692456,0.839185,0.848400,0.00002254
64,0.581197,0.696235,0.877433,0.841400,0.00002006
65,0.617761,0.697191,0.894103,0.839400,0.00001770
66,0.552395,0.712193,0.854559,0.843200,0.00001548
67,0.600476,0.698435,0.839689,0.845000,0.00001340
68,0.582198,0.701614,0.829233,0.843800,0.00001145
69,0.599862,0.699435,0.868728,0.844800,0.00000965
70,0.572459,0.710326,0.830945,0.849400,0.00000800
71,0.553860,0.706903,0.856956,0.848400,0.00000650
72,0.573440,0.713416,0.834793,0.845600,0.00000515
73,0.563992,0.723595,0.851302,0.847600,0.00000395
74,0.543780,0.730352,0.850619,0.850200,0.00000291
75,0.547410,0.715527,0.858762,0.844400,0.00000202
76,0.558435,0.714927,0.854155,0.845800,0.00000129
77,0.529658,0.723462,0.844215,0.845800,0.00000073
78,0.577219,0.711660,0.861052,0.843000,0.00000032
79,0.564869,0.710460,0.851651,0.850400,0.00000008
80,0.561392,0.712993,0.840806,0.848400,0.00000000
