epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.199292,0.228196,2.078932,0.441400,0.01666667
2,2.740468,0.310544,2.229200,0.435200,0.03333333
3,2.726329,0.313900,2.125144,0.441800,0.05000000
4,2.545218,0.344150,1.929618,0.489600,0.04998689
5,2.365252,0.373711,1.757827,0.532400,0.04994757
6,2.323125,0.389847,1.740327,0.541200,0.04988209
7,2.300912,0.388602,1.800943,0.522000,0.04979050
8,2.295783,0.407672,1.713455,0.545600,0.04967292
9,2.281309,0.403938,1.754331,0.537400,0.04952945
10,2.260402,0.414496,1.740656,0.530000,0.04936026
11,2.201939,0.420364,1.667675,0.556200,0.04916552
12,2.218723,0.414607,1.675918,0.560400,0.04894543
13,2.187194,0.418497,1.673823,0.554600,0.04870023
14,2.202647,0.408917,1.662539,0.555400,0.04843017
15,2.186826,0.428298,1.707822,0.540400,0.04813553
16,2.141668,0.432966,1.673826,0.562600,0.04781663
17,2.146551,0.416852,1.750051,0.537000,0.04747379
18,2.171878,0.435566,1.618634,0.561400,0.04710739
19,2.162798,0.426387,1.585263,0.570600,0.04671779
20,2.138096,0.433766,1.637594,0.570600,0.04630542
21,2.114619,0.436611,1.645722,0.566800,0.04587070
22,2.103519,0.433522,1.649700,0.562600,0.04541409
23,2.081964,0.438589,1.560977,0.575200,0.04493607
24,2.106748,0.436744,1.524568,0.591400,0.04443714
25,2.085219,0.449280,1.568297,0.585600,0.04391782
26,2.095418,0.429632,1.608138,0.566000,0.04337866
27,2.086742,0.439989,1.604228,0.577600,0.04282022
28,2.041312,0.446591,1.641723,0.562400,0.04224309
29,2.053972,0.444590,1.534097,0.584200,0.04164788
30,2.043696,0.452258,1.565278,0.579400,0.04103521
31,2.029564,0.461660,1.571057,0.580600,0.04040571
32,1.994726,0.448169,1.632693,0.567800,0.03976006
33,1.975239,0.465861,1.561286,0.589600,0.03909893
34,2.009617,0.463171,1.478005,0.601600,0.03842300
35,2.002642,0.461326,1.487409,0.612600,0.03773300
36,1.977761,0.462816,1.501646,0.594800,0.03702965
37,1.967296,0.469861,1.496109,0.590800,0.03631368
38,1.972260,0.465172,1.556601,0.581600,0.03558584
39,1.944136,0.475529,1.427399,0.616400,0.03484689
40,1.929620,0.465127,1.500433,0.600600,0.03409762
41,1.933139,0.474640,1.480352,0.599800,0.03333881
42,1.946553,0.478463,1.460762,0.600000,0.03257125
43,1.883719,0.490932,1.422923,0.620800,0.03179575
44,1.882827,0.483264,1.447651,0.610200,0.03101312
45,1.824464,0.492554,1.411752,0.621000,0.03022419
46,1.838355,0.500467,1.494746,0.597200,0.02942977
47,1.850228,0.499644,1.435893,0.611400,0.02863071
48,1.827350,0.495977,1.365095,0.637800,0.02782785
49,1.838242,0.491421,1.346449,0.637000,0.02702201
50,1.802055,0.503423,1.272779,0.652400,0.02621406
51,1.783861,0.516625,1.315455,0.647400,0.02540483
52,1.768370,0.518137,1.360602,0.641000,0.02459517
53,1.778195,0.505623,1.327606,0.642400,0.02378594
54,1.754086,0.523315,1.304984,0.638800,0.02297799
55,1.701337,0.532584,1.268745,0.656000,0.02217215
56,1.720173,0.531139,1.273128,0.655800,0.02136929
57,1.631387,0.545853,1.250686,0.660000,0.02057023
58,1.679537,0.544852,1.254732,0.662400,0.01977581
59,1.663201,0.543141,1.242832,0.666800,0.01898688
60,1.638968,0.556677,1.236838,0.665200,0.01820425
61,1.623617,0.556143,1.206429,0.675200,0.01742875
62,1.597817,0.563634,1.219477,0.671800,0.01666119
63,1.585491,0.545164,1.182579,0.679400,0.01590238
64,1.566736,0.548720,1.196168,0.679600,0.01515311
65,1.565327,0.582748,1.183351,0.680000,0.01441416
66,1.527283,0.573324,1.145085,0.690000,0.01368632
67,1.488829,0.586371,1.112115,0.700800,0.01297035
68,1.474783,0.593728,1.142011,0.689600,0.01226700
69,1.461670,0.594528,1.088062,0.707800,0.01157700
70,1.422040,0.608375,1.071887,0.707000,0.01090107
71,1.409595,0.593105,1.051527,0.715000,0.01023994
72,1.390829,0.603841,1.048218,0.715600,0.00959429
73,1.321776,0.621199,1.093396,0.706800,0.00896479
74,1.361467,0.624222,1.018161,0.727000,0.00835212
75,1.300996,0.630001,1.031731,0.721800,0.00775691
76,1.280574,0.636558,1.029942,0.721600,0.00717978
77,1.249901,0.651760,1.063130,0.716000,0.00662134
78,1.197127,0.659984,0.999150,0.732600,0.00608218
79,1.220558,0.647871,0.945562,0.745400,0.00556286
80,1.196717,0.666007,0.970049,0.740600,0.00506393
81,1.149920,0.657517,0.955243,0.743600,0.00458591
82,1.152541,0.661473,0.922754,0.751400,0.00412930
83,1.160520,0.654872,0.913955,0.752000,0.00369458
84,1.092343,0.692034,0.918241,0.760000,0.00328221
85,1.073056,0.677187,0.916506,0.757000,0.00289261
86,1.090375,0.689123,0.894783,0.757200,0.00252621
87,0.991818,0.708993,0.871682,0.767600,0.00218337
88,0.994226,0.694724,0.881420,0.761000,0.00186447
89,1.024515,0.706303,0.857075,0.772000,0.00156983
90,1.011751,0.707237,0.892473,0.770400,0.00129977
91,0.967239,0.712149,0.848609,0.779600,0.00105457
92,0.980393,0.719928,0.836730,0.774200,0.00083448
93,0.900285,0.732197,0.827226,0.776600,0.00063974
94,0.956295,0.701414,0.835350,0.778800,0.00047055
95,0.948259,0.727307,0.857706,0.777600,0.00032708
96,0.965218,0.705970,0.834354,0.773800,0.00020950
97,0.894130,0.729063,0.840317,0.778600,0.00011791
98,0.971684,0.713371,0.841540,0.778200,0.00005243
99,0.942789,0.733797,0.822598,0.779600,0.00001311
100,0.948786,0.697035,0.824874,0.777400,0.00000000
