epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.022619,0.289785,1.010756,0.724000,0.00016667
2,1.964445,0.459526,1.097727,0.705600,0.00033333
3,2.029258,0.429476,1.375112,0.628400,0.00050000
4,2.062355,0.423720,1.339812,0.633200,0.00049987
5,2.023319,0.433055,1.211805,0.663000,0.00049948
6,1.905371,0.457304,1.145006,0.688000,0.00049882
7,1.839935,0.450902,1.107362,0.694000,0.00049791
8,1.771820,0.488398,1.134775,0.686800,0.00049673
9,1.747386,0.476129,1.121973,0.688200,0.00049529
10,1.665075,0.485486,1.062642,0.704800,0.00049360
11,1.681225,0.496622,1.010419,0.717000,0.00049166
12,1.622265,0.504690,1.032066,0.709800,0.00048945
13,1.614055,0.516247,1.018985,0.720200,0.00048700
14,1.570788,0.513002,0.994121,0.720800,0.00048430
15,1.563100,0.534606,1.026911,0.717800,0.00048136
16,1.512695,0.545230,0.972786,0.724600,0.00047817
17,1.476548,0.557366,0.974194,0.734600,0.00047474
18,1.472439,0.540985,0.956595,0.741000,0.00047107
19,1.388829,0.560411,0.898462,0.748000,0.00046718
20,1.365835,0.559366,0.939885,0.743800,0.00046305
21,1.354941,0.574502,0.997274,0.727000,0.00045871
22,1.374029,0.568101,0.925589,0.749000,0.00045414
23,1.383905,0.548186,0.951319,0.735200,0.00044936
24,1.296707,0.578636,0.969682,0.744400,0.00044437
25,1.324615,0.589438,0.932540,0.752000,0.00043918
26,1.312678,0.573191,0.923193,0.748400,0.00043379
27,1.259782,0.576325,0.899917,0.758600,0.00042820
28,1.224408,0.593172,0.925720,0.760600,0.00042243
29,1.214044,0.612553,0.954934,0.750000,0.00041648
30,1.195233,0.597595,0.943111,0.753600,0.00041035
31,1.199085,0.594239,0.936429,0.758000,0.00040406
32,1.202487,0.587171,0.902180,0.761200,0.00039760
33,1.139723,0.609797,0.920684,0.761400,0.00039099
34,1.132436,0.605241,0.927819,0.760600,0.00038423
35,1.130944,0.622822,0.906290,0.766800,0.00037733
36,1.111838,0.600929,0.956276,0.761200,0.00037030
37,1.129618,0.616487,0.974700,0.759200,0.00036314
38,1.078813,0.618621,0.911369,0.768600,0.00035586
39,1.111942,0.638958,0.940491,0.760000,0.00034847
40,1.075781,0.634624,0.906699,0.768000,0.00034098
41,1.054413,0.632846,0.960063,0.761800,0.00033339
42,1.025637,0.643492,0.943584,0.772600,0.00032571
43,1.053702,0.638669,0.923298,0.768400,0.00031796
44,1.026027,0.635380,0.901560,0.779200,0.00031013
45,1.008254,0.644648,0.909135,0.777800,0.00030224
46,1.019925,0.643537,0.944965,0.766200,0.00029430
47,0.984288,0.648849,0.907765,0.777600,0.00028631
48,1.008521,0.647071,0.906601,0.772000,0.00027828
49,0.984989,0.644937,0.887367,0.784000,0.00027022
50,0.954822,0.637113,0.912009,0.777800,0.00026214
51,0.939551,0.648604,0.947297,0.782200,0.00025405
52,0.917921,0.679254,0.905634,0.785800,0.00024595
53,0.910722,0.655072,0.940154,0.778000,0.00023786
54,0.906760,0.662851,0.845845,0.789200,0.00022978
55,0.910931,0.661140,0.931295,0.790800,0.00022172
56,0.898643,0.687878,0.855964,0.790600,0.00021369
57,0.853937,0.681610,0.929286,0.794000,0.00020570
58,0.860059,0.668363,0.937255,0.780400,0.00019776
59,0.875420,0.670719,0.853844,0.794400,0.00018987
60,0.825260,0.680632,0.954591,0.792600,0.00018204
61,0.813682,0.666318,0.898541,0.804000,0.00017429
62,0.814660,0.666474,0.901781,0.796200,0.00016661
63,0.813117,0.679076,0.890614,0.801600,0.00015902
64,0.823844,0.654916,0.957917,0.802400,0.00015153
65,0.781750,0.674587,0.925457,0.800000,0.00014414
66,0.792805,0.680477,0.836109,0.799000,0.00013686
67,0.817526,0.669541,0.864398,0.804600,0.00012970
68,0.782420,0.684722,0.894686,0.806400,0.00012267
69,0.743671,0.703436,0.862465,0.807800,0.00011577
70,0.734890,0.695346,0.897154,0.804800,0.00010901
71,0.734834,0.703792,0.884672,0.810200,0.00010240
72,0.763807,0.692634,0.886008,0.812000,0.00009594
73,0.718506,0.685255,0.855642,0.805800,0.00008965
74,0.716860,0.684588,0.843374,0.815200,0.00008352
75,0.697160,0.692167,0.880480,0.823600,0.00007757
76,0.714615,0.695746,0.844687,0.818200,0.00007180
77,0.712479,0.702169,0.827340,0.823600,0.00006621
78,0.716867,0.700636,0.877443,0.818200,0.00006082
79,0.680018,0.708770,0.829745,0.825600,0.00005563
80,0.684739,0.714060,0.875198,0.817800,0.00005064
81,0.656727,0.712260,0.840852,0.826000,0.00004586
82,0.687876,0.697857,0.849151,0.824200,0.00004129
83,0.685448,0.696057,0.842449,0.830200,0.00003695
84,0.683969,0.698880,0.835876,0.822600,0.00003282
85,0.668180,0.698169,0.829032,0.822800,0.00002893
86,0.666351,0.723395,0.844384,0.825000,0.00002526
87,0.657913,0.698035,0.786631,0.830000,0.00002183
88,0.671746,0.711860,0.820428,0.829000,0.00001864
89,0.631793,0.717794,0.811443,0.828400,0.00001570
90,0.626811,0.705214,0.795845,0.833000,0.00001300
91,0.636535,0.710882,0.832939,0.830600,0.00001055
92,0.667356,0.711504,0.816739,0.832800,0.00000834
93,0.667223,0.726285,0.811533,0.838600,0.00000640
94,0.618042,0.712638,0.807025,0.836000,0.00000471
95,0.631424,0.702280,0.826433,0.831000,0.00000327
96,0.630899,0.688611,0.814239,0.833200,0.00000209
97,0.652520,0.708815,0.801295,0.840200,0.00000118
98,0.630476,0.701614,0.831242,0.829200,0.00000052
99,0.641811,0.722484,0.822554,0.830000,0.00000013
100,0.636312,0.693701,0.832209,0.831800,0.00000000
