epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.417499,0.036681,4.133293,0.071400,0.02500000
2,4.040207,0.077279,3.796443,0.113800,0.05000000
3,3.720208,0.119703,3.382267,0.173200,0.07500000
4,3.461984,0.160323,3.192324,0.218600,0.10000000
5,3.165102,0.213453,3.496123,0.200200,0.09998986
6,3.018064,0.246461,2.854294,0.282000,0.09995945
7,2.857368,0.258502,2.593376,0.336200,0.09990878
8,2.710069,0.298522,2.510196,0.357400,0.09983787
9,2.651180,0.316150,2.456061,0.361200,0.09974674
10,2.600851,0.327747,2.289819,0.401000,0.09963544
11,2.543677,0.339365,2.328869,0.395000,0.09950402
12,2.447749,0.340856,2.322218,0.394000,0.09935251
13,2.428888,0.349804,2.471487,0.365600,0.09918100
14,2.410986,0.362936,2.271015,0.423000,0.09898953
15,2.344121,0.371839,2.144748,0.435400,0.09877820
16,2.329527,0.392072,2.396906,0.384600,0.09854709
17,2.289301,0.386329,2.249907,0.406600,0.09829629
18,2.249542,0.387843,2.151588,0.440800,0.09802591
19,2.256307,0.394587,2.192721,0.437800,0.09773604
20,2.211009,0.406183,2.081910,0.456200,0.09742682
21,2.189944,0.414062,1.796548,0.514200,0.09709837
22,2.154093,0.424034,1.906146,0.489400,0.09675081
23,2.138726,0.439080,2.188804,0.433800,0.09638430
24,2.171686,0.419427,1.973090,0.473400,0.09599897
25,2.153924,0.425792,2.018915,0.470800,0.09559499
26,2.101761,0.433360,2.066676,0.460600,0.09517252
27,2.116494,0.442575,2.190705,0.448600,0.09473173
28,2.118452,0.445669,2.392608,0.416000,0.09427280
29,2.131745,0.428486,1.933956,0.488400,0.09379592
30,2.063601,0.422699,1.903394,0.492600,0.09330127
31,2.153964,0.419271,1.787089,0.525600,0.09278906
32,2.077883,0.425258,2.052861,0.471800,0.09225950
33,2.086412,0.434918,1.925237,0.497800,0.09171281
34,2.002073,0.463564,2.010216,0.474600,0.09114919
35,2.003415,0.464543,1.965484,0.481800,0.09056889
36,1.993683,0.463586,1.751815,0.524800,0.08997214
37,2.003993,0.469106,1.816676,0.516000,0.08935917
38,1.963784,0.460782,1.884850,0.496200,0.08873025
39,1.945994,0.479745,1.697769,0.553000,0.08808562
40,1.971929,0.456219,1.739328,0.540600,0.08742554
41,1.979251,0.462184,1.911967,0.507800,0.08675028
42,1.945498,0.449297,1.534760,0.579000,0.08606012
43,1.995163,0.459424,1.783343,0.528600,0.08535534
44,1.917517,0.478944,1.693700,0.547600,0.08463622
45,1.910544,0.476451,2.081563,0.480000,0.08390305
46,1.972299,0.476785,1.561272,0.581600,0.08315613
47,1.931274,0.466168,1.787241,0.527600,0.08239577
48,1.859890,0.481660,1.757168,0.535400,0.08162227
49,1.899839,0.486579,1.579120,0.577800,0.08083594
50,1.849912,0.487714,1.715155,0.537600,0.08003711
51,1.869772,0.499555,1.664800,0.554400,0.07922610
52,1.853851,0.482661,1.615893,0.564600,0.07840324
53,1.835555,0.501736,1.813436,0.532400,0.07756885
54,1.853301,0.483218,1.602691,0.572400,0.07672329
55,1.787409,0.499777,1.619707,0.567400,0.07586689
56,1.800347,0.487869,1.571103,0.577400,0.07500000
57,1.838375,0.487625,1.591084,0.572400,0.07412297
58,1.846266,0.491831,1.717331,0.559800,0.07323616
59,1.803539,0.515469,1.547817,0.587000,0.07233992
60,1.770612,0.504563,1.529786,0.582000,0.07143463
61,1.830139,0.509972,1.565981,0.575200,0.07052064
62,1.799672,0.495905,1.614659,0.560600,0.06959833
63,1.803128,0.517094,1.575087,0.564800,0.06866807
64,1.811396,0.522614,1.662296,0.555000,0.06773024
65,1.766325,0.498464,1.474915,0.607000,0.06678523
66,1.802274,0.509682,1.558441,0.583600,0.06583340
67,1.765993,0.516270,1.779481,0.535400,0.06487515
68,1.754805,0.492366,1.499056,0.596000,0.06391087
69,1.799797,0.504140,1.540799,0.587200,0.06294095
70,1.647795,0.536191,1.516027,0.594800,0.06196578
71,1.709436,0.524639,1.431180,0.608800,0.06098576
72,1.740662,0.524439,1.497175,0.600600,0.06000128
